SYMBOL,DAY1_PCT_CHANGE,DAY2_PCT_CHANGE,DELTA_PCT_CHANGE,TREND
QMSMEDI,2.41,-1.06,-3.47,down
QPOWER,2.73,-2.84,-5.57,down
QUADFUTURE,5.62,-4.37,-9.99,down
RACLGEAR,5.88,0.52,-5.359999999999999,down
RAJMET,1.21,0.3,-0.9099999999999999,down
RAJOOENG,1.47,-0.31,-1.78,down
RAMBHAJO,1.14,-0.74,-1.88,down
RAMCOCEM,1.62,-0.35,-1.9700000000000002,down
RAMKY,3.0,0.38,-2.62,down
RAMRAT,6.94,-1.19,-8.13,down
RAPPID,3.11,-1.76,-4.87,down
RATNAVEER,1.16,0.24,-0.9199999999999999,down
RBS,3.22,-1.61,-4.83,down
REFRACTORY,1.36,-3.07,-4.43,down
REGENCERAM,4.59,-2.54,-7.13,down
RELAXO,2.26,-0.49,-2.75,down
RELCHEMQ,1.91,-0.21,-2.12,down
RELIANCE,3.52,0.74,-2.7800000000000002,down
REPCOHOME,1.39,-2.2,-3.59,down
RHL,2.62,-3.25,-5.87,down
RIIL,1.47,-0.35,-1.8199999999999998,down
RITEZONE,4.72,-4.26,-8.98,down
RKSWAMY,3.15,-1.31,-4.46,down
RMC,5.28,-5.55,-10.83,down
RNPL,1.07,,,flat
ROML,1.3,-0.71,-2.01,down
ROSSTECH,2.4,0.22,-2.1799999999999997,down
ROTO,5.0,-2.65,-7.65,down
RPEL,1.51,-0.86,-2.37,down
RSL,1.6,-0.09,-1.6900000000000002,down
RULKA,3.44,-2.53,-5.97,down
RUPA,3.68,-1.65,-5.33,down
RUSHIL,1.96,-1.93,-3.8899999999999997,down
RVNL,2.62,-0.69,-3.31,down
SAATVIKGL,1.18,-0.94,-2.12,down
SACHEEROME,9.79,0.8,-8.989999999999998,down
SADBHIN,1.54,-0.76,-2.3,down
SAHYADRI,4.85,0.99,-3.8599999999999994,down
SAILIFE,1.38,-3.42,-4.8,down
SAKAR,3.26,0.54,-2.7199999999999998,down
SALSTEEL,4.98,-1.62,-6.6000000000000005,down
SALZERELEC,1.52,-1.14,-2.66,down
SAMHI,1.49,-0.9,-2.39,down
SAMMAANCAP,3.52,-2.42,-5.9399999999999995,down
SANDESH,20.0,-4.49,-24.490000000000002,down
SANGANI,4.65,0.0,-4.65,down
SAPPL,3.4,-2.31,-5.71,down
SAVY,3.69,-2.12,-5.8100000000000005,down
SBFC,1.82,-1.09,-2.91,down
SBIBPB,1.6,0.92,-0.68,down
SBIETFQLTY,1.83,0.38,-1.4500000000000002,down
SCI,2.63,-1.25,-3.88,down
SECMARK,2.14,0.91,-1.23,down
SELMC,1.78,-2.14,-3.92,down
SENSEXAXIS,1.92,-1.2,-3.12,down
SEPC,3.48,-5.5,-8.98,down
